"year","pasture","rep","transect","quad","richness","total_traits_coverage","grz_window_10yr","grz_window_20yr","shannon","sla","leafN","leafP","ldmc","thickness","height","ila","lignin","cellulose","rtDiam","rdmc","srl","rootN","senescence","BRTE_dissim","BRAR_dissim","BRAR_veg_prop","BRTE_veg_prop","brome_veg_prop","prsnc_absnc","clay","twi"
2005,"CH",1,"Flat",1,3,1,59.39393939,61.41798942,0.54073677,80.2512693,1.592204906,0.292090909,0.46517086,0.135012987,150.554731,0.803361472,1.952,28.11009895,0.207266559,0.388017786,77.93438646,0.657142857,216.5766234,7.150295636,6.056910753,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",2,3,1,59.39393939,61.41798942,1.098612289,104.8519675,2.132333333,0.319666667,0.333010744,0.2535,173.0285714,2.801324074,1.69,27.3002381,0.253788889,0.265113127,98.48229177,1.082222222,205.2,6.005638233,5.435013977,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",3,7,1,59.39393939,61.41798942,1.182738973,98.75776226,1.673685926,0.287973333,0.44199701,0.150966667,174.9360952,0.877235795,2.065453333,27.89297968,0.207285733,0.366590375,89.2263442,0.694133333,222.4546535,7.228094842,6.083287023,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",4,6,1,59.39393939,61.41798942,1.449006669,97.52298728,1.798018519,0.282309524,0.422310939,0.182821429,189.2070748,1.694794509,1.866952381,28.87720181,0.224659286,0.343677378,100.397558,0.746428572,216.7499765,7.02557313,5.961891323,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",5,6,1,59.39393939,61.41798942,1.638674415,110.6907233,1.709715556,0.24264,0.405639932,0.16544,149.836,0.817144775,2.40452,26.58954667,0.1969384,0.32086596,131.0927187,0.732,216.8679605,6.894132777,5.85551891,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",6,6,1,59.39393939,61.41798942,1.393308365,104.42383,1.889014957,0.292730769,0.376518787,0.181788462,143.1680769,0.707136642,3.618480769,22.99975641,0.231252372,0.335316466,67.32876502,0.752788462,234.4788272,7.160842694,6.339908862,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",7,6,1,59.39393939,61.41798942,1.131898401,94.26614508,1.733450292,0.284368421,0.433110579,0.147096241,157.3532331,0.679483096,2.252947368,26.16003509,0.212357105,0.368341727,83.09865361,0.725052632,220.5082734,7.099300721,6.084730686,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",8,5,1,59.39393939,61.41798942,0.922301986,88.7344469,1.622774557,0.271507246,0.460291789,0.146724638,157.7252174,0.860556078,1.921333333,27.90532367,0.204751304,0.386068414,86.72299637,0.643574879,216.4888412,7.218448785,5.9941532,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",9,6,1,59.39393939,61.41798942,1.791759469,96.91406873,2.002981482,0.295722222,0.362348587,0.208416667,126.6916667,1.048926704,3.670222222,23.08827778,0.2323425,0.360495847,126.8682164,0.91,207.738834,7.207889252,6.537858936,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",10,7,1,59.39393939,61.41798942,1.494179143,102.0053083,1.720184324,0.258829457,0.419025381,0.148310078,142.3537985,0.638460432,2.354806202,26.22278553,0.199658333,0.34748424,134.0511609,0.757777778,210.4671324,6.787257792,5.87595629,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",11,6,1,59.39393939,61.41798942,1.527455851,121.8529584,1.771913832,0.261714286,0.399894063,0.144265306,162.4583674,0.573049788,2.141040816,27.27512925,0.202280612,0.326651787,152.553737,0.812244898,217.5407962,6.653669255,5.804895775,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",12,6,1,59.39393939,61.41798942,1.614640611,111.0513733,1.866934028,0.26446875,0.381261843,0.1779375,159.4809375,1.059870918,2.7428125,25.30464583,0.224503333,0.309317093,106.1961038,0.7809375,227.4530941,6.843639149,5.976754674,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",13,5,0.951612903,59.39393939,61.41798942,0.594678785,83.340853,1.62087194,0.286525424,0.462542144,0.136008475,157.5084746,0.647449668,2.098389831,27.95917514,0.206928814,0.390258682,75.00689138,0.660096852,222.7118644,7.395794548,6.272973557,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",14,6,1,59.39393939,61.41798942,1.185392628,91.17149535,1.655157525,0.267721519,0.442116952,0.152453587,150.4005063,0.698824773,2.344405063,27.190827,0.217986793,0.372088481,68.02802661,0.655907173,220.973798,7.307697141,6.170649496,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",15,8,1,59.39393939,61.41798942,1.525103282,110.0969259,1.847998164,0.293413223,0.410801556,0.155105864,169.5890673,0.634150463,2.223371901,26.80753168,0.216225826,0.354178846,93.32584573,0.808429752,223.3966779,7.162332985,6.239653111,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",16,5,1,59.39393939,61.41798942,1.23511772,105.953246,1.731211776,0.274948718,0.417224931,0.157965812,166.7923077,0.717556575,2.518324786,26.97088319,0.214905114,0.342367562,80.20733523,0.742490843,229.4188034,7.188798482,6.14169845,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",17,8,1,59.39393939,61.41798942,1.433678645,89.81910117,1.725025961,0.27711215,0.437103283,0.161959502,162.6411215,1.034003715,2.207271028,28.11199377,0.229160794,0.371177,64.94476569,0.720373832,220.1513834,7.430145334,6.345937051,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",18,7,0.92,59.39393939,61.41798942,0.922301986,100.5689241,1.676557166,0.289391304,0.44657227,0.144468599,164.2942029,0.627020816,2.109347826,28.26120773,0.213693188,0.381661863,68.58612153,0.698043478,223.0420147,7.307358598,6.191139012,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",19,3,1,59.39393939,61.41798942,1.054920168,80.94396305,1.700088889,0.245333333,0.427580894,0.165022222,170.51,0.84704678,2.293333333,30.62826667,0.262439333,0.380446704,52.67107408,0.733333333,210.28,8.116639271,7.129542455,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",20,8,1,59.39393939,61.41798942,1.731294394,142.9334758,1.875268519,0.293208333,0.369460696,0.189215278,191.2252083,0.67466554,3.191770833,26.70672222,0.245210417,0.318297576,66.95749599,0.862916667,232.5437294,7.103268173,6.164622922,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",21,9,1,59.39393939,61.41798942,1.892488381,129.6644092,1.840101533,0.264367816,0.381695377,0.192772989,206.8103448,1.12087493,2.282764368,27.94621839,0.240978333,0.327346606,69.62372036,0.858764368,225.5706726,7.259474662,6.144011617,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",22,6,1,59.39393939,61.41798942,1.488678928,127.5498446,1.755352166,0.268932203,0.407255076,0.170915254,186.45,0.778742134,2.127271186,27.47632768,0.226849153,0.338006748,69.62821757,0.821977401,228.8903397,6.991777936,5.780971096,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",23,9,0.882352941,59.39393939,61.41798942,1.597336251,110.515377,1.815017284,0.276666667,0.41026518,0.182544444,177.4144444,1.170627251,2.036,27.82480741,0.216889333,0.342338531,82.10539699,0.838349206,222.6510892,7.13527098,6.013569884,0,0,0,"A",20.01316749,9.73852266
2005,"CH",1,"Flat",24,6,1,59.39393939,61.41798942,1.369776762,103.2404145,1.708827462,0.272739837,0.431352153,0.169284553,170.3252033,0.993582948,2.046617886,27.45425474,0.221039228,0.358447671,69.34182741,0.746124661,223.9013015,7.18172243,5.96848965,0,0,0,"A",20.01316749,9.73852266
