1, 2, 0, odd
2, 4, 1, even
3, 6, 2, odd
4, 8, 3, even
5, 10, 4, odd
6, 12, 5, even
7, 14, 6, odd
8, 16, 7, even
9, 18, 8, odd
10, 20, 9, even
11, 22, 10, odd
12, 24, 11, even
13, 26, 12, odd
14, 28, 13, even
15, 30, 14, odd
16, 32, 15, even
17, 34, 16, odd
18, 36, 17, even
19, 38, 18, odd
20, 40, 19, even
21, 42, 20, odd
22, 44, 21, even
23, 46, 22, odd
24, 48, 23, even
25, 50, 24, odd
26, 52, 25, even
27, 54, 26, odd
28, 56, 27, even
29, 58, 28, odd
30, 60, 29, even
31, 62, 30, odd
32, 64, 31, even
33, 66, 32, odd
34, 68, 33, even
35, 70, 34, odd
36, 72, 35, even
37, 74, 36, odd
38, 76, 37, even
39, 78, 38, odd
40, 80, 39, even
41, 82, 40, odd
42, 84, 41, even
43, 86, 42, odd
44, 88, 43, even
45, 90, 44, odd
46, 92, 45, even
47, 94, 46, odd
48, 96, 47, even
49, 98, 48, odd
50, 100, 49, even
51, 102, 50, odd
52, 104, 51, even
53, 106, 52, odd
54, 108, 53, even
55, 110, 54, odd
56, 112, 55, even
57, 114, 56, odd
58, 116, 57, even
59, 118, 58, odd
60, 120, 59, even
61, 122, 60, odd
62, 124, 61, even
63, 126, 62, odd
64, 128, 63, even
65, 130, 64, odd
66, 132, 65, even
67, 134, 66, odd
68, 136, 67, even
69, 138, 68, odd
70, 140, 69, even
71, 142, 70, odd
72, 144, 71, even
73, 146, 72, odd
74, 148, 73, even
75, 150, 74, odd
76, 152, 75, even
77, 154, 76, odd
78, 156, 77, even
79, 158, 78, odd
80, 160, 79, even
81, 162, 80, odd
82, 164, 81, even
83, 166, 82, odd
84, 168, 83, even
85, 170, 84, odd
86, 172, 85, even
87, 174, 86, odd
88, 176, 87, even
89, 178, 88, odd
90, 180, 89, even
91, 182, 90, odd
92, 184, 91, even
93, 186, 92, odd
94, 188, 93, even
95, 190, 94, odd
96, 192, 95, even
97, 194, 96, odd
98, 196, 97, even
99, 198, 98, odd
100, 200, 99, even
